epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.6168,0.25826,1.71203,0.91969,0.80741,0.80372,0.86972,0.82256,0.28375,1.21032,0.91078,0.000474298,0.000474298,0.000474298
2,82.5151,0.24325,0.85821,0.89125,0.79339,0.85495,0.86972,0.80828,0.31984,1.0679,0.93036,0.000903575,0.000903575,0.000903575
3,120.785,0.23896,0.67879,0.89086,0.89619,0.91029,0.95448,0.87238,0.39835,0.70406,0.98598,0.00128569,0.00128569,0.00128569
4,158.989,0.22479,0.51479,0.88515,0.94346,0.91546,0.99356,0.98586,0.22681,0.42338,0.83771,0.00121679,0.00121679,0.00121679
5,197.72,0.21428,0.44384,0.879,0.99195,0.9653,0.98686,0.97668,0.20149,0.40008,0.84696,0.00114606,0.00114606,0.00114606
6,236.271,0.18672,0.37257,0.87737,0.94216,0.92607,0.98936,0.95392,0.23901,0.48138,0.86875,0.00107532,0.00107532,0.00107532
7,275.16,0.17827,0.32976,0.8718,0.93995,0.9557,0.99475,0.99289,0.16695,0.32592,0.81422,0.00100459,0.00100459,0.00100459
8,313.872,0.16636,0.2908,0.86577,0.92433,0.93087,0.97594,0.96794,0.17597,0.33198,0.80581,0.000933851,0.000933851,0.000933851
9,352.568,0.15982,0.27823,0.86374,0.9985,0.9998,0.995,0.99217,0.19095,0.20386,0.82639,0.000863116,0.000863116,0.000863116
10,390.966,0.14496,0.24357,0.85928,0.99662,0.99926,0.995,0.99483,0.14548,0.15576,0.79234,0.00079238,0.00079238,0.00079238
11,449.533,0.16308,0.23424,0.85322,0.86074,0.82535,0.8374,0.81056,0.26076,0.87787,0.87983,0.000721645,0.000721645,0.000721645
12,487.796,0.16198,0.22684,0.85384,0.90619,0.93163,0.98888,0.98463,0.14888,0.34409,0.78759,0.000650909,0.000650909,0.000650909
13,525.948,0.14168,0.19065,0.83652,0.972,0.93624,0.99281,0.99204,0.1273,0.24723,0.78046,0.000580174,0.000580174,0.000580174
14,564.113,0.13868,0.16698,0.83542,0.98936,0.99637,0.995,0.99429,0.15174,0.15899,0.783,0.000509438,0.000509438,0.000509438
15,602.216,0.11424,0.14015,0.82838,0.98059,0.97204,0.99038,0.98571,0.11706,0.15476,0.77466,0.000438703,0.000438703,0.000438703
16,640.109,0.10146,0.11453,0.82011,0.99949,0.99853,0.995,0.99444,0.10818,0.10517,0.76435,0.000367967,0.000367967,0.000367967
17,678.591,0.09102,0.09686,0.81437,0.99963,1,0.995,0.99401,0.09581,0.09318,0.75982,0.000297232,0.000297232,0.000297232
18,717.823,0.08497,0.0909,0.81256,0.99609,0.97632,0.9906,0.98998,0.09101,0.14359,0.75596,0.000226497,0.000226497,0.000226497
19,756.051,0.07489,0.08211,0.81481,0.99807,0.99982,0.995,0.99499,0.07348,0.07624,0.75191,0.000155761,0.000155761,0.000155761
20,793.968,0.06553,0.07106,0.80467,0.9987,0.9999,0.995,0.99464,0.06595,0.06489,0.74829,8.50255e-05,8.50255e-05,8.50255e-05
