epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.3112,0.32658,2.08529,0.92949,0.58934,0.62766,0.66401,0.55899,0.45796,1.94446,1.02881,0.000474298,0.000474298,0.000474298
2,83.8145,0.28837,1.13135,0.89092,0.52399,0.66507,0.63508,0.50146,0.59057,1.81791,1.08826,0.000903575,0.000903575,0.000903575
3,122.528,0.31235,0.90538,0.89491,0.69135,0.72328,0.78639,0.74726,0.26014,1.31448,0.84723,0.00128569,0.00128569,0.00128569
4,160.917,0.32068,0.77657,0.89756,0.80575,0.85529,0.93085,0.84091,0.36189,0.74434,0.94249,0.00121679,0.00121679,0.00121679
5,199.177,0.25224,0.64961,0.87642,0.8472,0.83278,0.9405,0.92759,0.20058,0.72485,0.82536,0.00114606,0.00114606,0.00114606
6,237.179,0.23988,0.57937,0.87224,0.78398,0.83177,0.89586,0.83062,0.33141,0.7358,0.91692,0.00107532,0.00107532,0.00107532
7,275.947,0.23128,0.50834,0.86929,0.86247,0.89037,0.94833,0.92277,0.23384,0.61903,0.836,0.00100459,0.00100459,0.00100459
8,315.107,0.21493,0.45966,0.86469,0.93576,0.90279,0.96718,0.95375,0.19572,0.47372,0.82241,0.000933851,0.000933851,0.000933851
9,353.964,0.21213,0.44025,0.86445,0.95839,0.93377,0.98454,0.97763,0.14479,0.37061,0.78515,0.000863116,0.000863116,0.000863116
10,392.494,0.18728,0.41791,0.85434,0.96387,0.95674,0.99062,0.98612,0.13485,0.26174,0.78024,0.00079238,0.00079238,0.00079238
11,449.815,0.21001,0.45117,0.84678,0.76636,0.84436,0.84126,0.83048,0.18122,0.89232,0.80147,0.000721645,0.000721645,0.000721645
12,487.225,0.19778,0.38059,0.84167,0.94855,0.95857,0.97962,0.97059,0.17963,0.32127,0.79903,0.000650909,0.000650909,0.000650909
13,524.956,0.17322,0.30864,0.82783,0.92492,0.89541,0.96985,0.96204,0.19048,0.46872,0.79775,0.000580174,0.000580174,0.000580174
14,562.602,0.18564,0.29646,0.82638,0.92647,0.92317,0.96903,0.95843,0.19323,0.41541,0.79777,0.000509438,0.000509438,0.000509438
15,600.589,0.17137,0.25221,0.82427,0.9742,0.94596,0.98832,0.98497,0.16278,0.26894,0.77882,0.000438703,0.000438703,0.000438703
16,638.596,0.16029,0.2212,0.81976,0.93185,0.90216,0.98217,0.97749,0.15792,0.35408,0.7824,0.000367967,0.000367967,0.000367967
17,676.238,0.1451,0.20064,0.80825,0.9768,0.95416,0.99398,0.99265,0.11238,0.24928,0.76484,0.000297232,0.000297232,0.000297232
18,713.793,0.12371,0.17139,0.8103,0.96585,0.9445,0.98979,0.98814,0.11911,0.32664,0.77073,0.000226497,0.000226497,0.000226497
19,751.343,0.11618,0.14831,0.80572,0.96887,0.94493,0.98857,0.98745,0.09559,0.29302,0.76026,0.000155761,0.000155761,0.000155761
20,788.968,0.09963,0.13035,0.79766,0.98412,0.97547,0.9942,0.99359,0.0801,0.1345,0.75788,8.50255e-05,8.50255e-05,8.50255e-05
