epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,304.781,0.2552,1.27092,0.90643,0.8,0.82006,0.94424,0.90854,0.20318,0.90026,0.84571,0.00333127,0.00333127,0.00333127
2,590.445,0.26211,0.52346,0.883,0.88814,0.8953,0.95932,0.93083,0.19516,0.47322,0.82349,0.00659863,0.00659863,0.00659863
3,869.105,0.29779,0.44662,0.8971,0.84078,0.77522,0.84482,0.79217,0.29493,0.77472,0.91663,0.00979998,0.00979998,0.00979998
4,1143.71,0.28075,0.37855,0.89157,0.8273,0.88814,0.92716,0.907,0.18541,0.65257,0.82323,0.009703,0.009703,0.009703
5,1418.03,0.23773,0.3013,0.87598,0.95575,0.97654,0.96981,0.9574,0.13964,0.23496,0.79324,0.009604,0.009604,0.009604
6,1692.01,0.21404,0.26529,0.87151,0.98095,0.98229,0.99429,0.98709,0.1293,0.16609,0.79484,0.009505,0.009505,0.009505
7,1966.09,0.19449,0.23693,0.86353,0.96755,0.97129,0.99353,0.9892,0.11268,0.18447,0.78278,0.009406,0.009406,0.009406
8,2241.5,0.18136,0.22096,0.85948,0.94652,0.9432,0.98007,0.97277,0.10708,0.24939,0.78039,0.009307,0.009307,0.009307
9,2517.03,0.17157,0.2098,0.85729,0.99104,0.99758,0.9944,0.99125,0.10234,0.11405,0.77882,0.009208,0.009208,0.009208
10,2790.82,0.16588,0.20124,0.85523,0.98502,0.99525,0.99412,0.99078,0.08993,0.11271,0.77184,0.009109,0.009109,0.009109
11,3066.65,0.15852,0.19631,0.85424,0.99617,0.99634,0.99496,0.99341,0.08644,0.10087,0.77284,0.00901,0.00901,0.00901
12,3327.14,0.15505,0.1887,0.85217,0.99487,0.99772,0.99476,0.99319,0.08593,0.10016,0.7738,0.008911,0.008911,0.008911
13,3582.12,0.14881,0.17972,0.85088,0.99671,0.99914,0.99494,0.99422,0.07692,0.08805,0.76756,0.008812,0.008812,0.008812
14,3833.05,0.14526,0.17741,0.85125,0.99674,0.9953,0.99493,0.99351,0.07842,0.09166,0.76916,0.008713,0.008713,0.008713
15,4087.39,0.14194,0.17298,0.85044,0.99555,0.99585,0.99498,0.9943,0.07418,0.08876,0.76547,0.008614,0.008614,0.008614
16,4341.56,0.13742,0.16761,0.84815,0.97608,0.9902,0.99266,0.98924,0.07725,0.12014,0.76968,0.008515,0.008515,0.008515
17,4595.11,0.13541,0.16565,0.84731,0.96997,0.9874,0.99218,0.98969,0.07037,0.11901,0.76601,0.008416,0.008416,0.008416
18,4849.04,0.13264,0.16212,0.84744,0.96522,0.98676,0.99066,0.98826,0.0671,0.11558,0.76401,0.008317,0.008317,0.008317
19,5102.04,0.12993,0.16233,0.84655,0.99005,0.99451,0.99449,0.99369,0.06669,0.08382,0.7632,0.008218,0.008218,0.008218
20,5356.75,0.1291,0.16023,0.8462,0.97613,0.9799,0.99273,0.99041,0.06901,0.11877,0.7662,0.008119,0.008119,0.008119
21,5610.45,0.12631,0.15708,0.84641,0.98759,0.9864,0.99483,0.99415,0.06654,0.09469,0.76231,0.00802,0.00802,0.00802
22,5865.01,0.1253,0.15595,0.84612,0.98493,0.99345,0.99484,0.99418,0.06306,0.08742,0.76182,0.007921,0.007921,0.007921
23,6119.38,0.12175,0.15034,0.8454,0.98576,0.98954,0.9947,0.99374,0.06215,0.08947,0.76254,0.007822,0.007822,0.007822
24,6373.44,0.11992,0.14893,0.84389,0.993,0.9956,0.99489,0.99406,0.06198,0.07717,0.76302,0.007723,0.007723,0.007723
25,6627.88,0.11844,0.14964,0.84438,0.99093,0.99283,0.99489,0.99421,0.06149,0.08579,0.76444,0.007624,0.007624,0.007624
