epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,327.753,0.18092,0.99792,0.88619,0.98716,0.98752,0.99487,0.99004,0.15928,0.44317,0.80526,0.00333135,0.00333135,0.00333135
2,636.301,0.19691,0.36419,0.87252,0.87373,0.91941,0.95313,0.94237,0.17,0.46291,0.81668,0.0065987,0.0065987,0.0065987
3,937.111,0.21782,0.30406,0.87895,0.98088,0.98715,0.99413,0.98719,0.16977,0.2071,0.81914,0.00980006,0.00980006,0.00980006
4,1232.92,0.1975,0.2515,0.87181,0.99151,0.9947,0.99485,0.99403,0.12475,0.15236,0.78291,0.009703,0.009703,0.009703
5,1520.1,0.16304,0.2075,0.86353,0.98561,0.98253,0.99392,0.99256,0.12382,0.18777,0.79177,0.009604,0.009604,0.009604
6,1801.85,0.14461,0.18517,0.85992,0.9879,0.99113,0.99496,0.99446,0.1097,0.12061,0.77856,0.009505,0.009505,0.009505
7,2085.65,0.132,0.16908,0.85614,0.98336,0.98718,0.99499,0.99356,0.09797,0.1231,0.77431,0.009406,0.009406,0.009406
8,2373.73,0.12343,0.15886,0.85401,0.98834,0.99401,0.99474,0.99434,0.10741,0.14389,0.79486,0.009307,0.009307,0.009307
9,2655.76,0.11671,0.15053,0.85264,0.99704,0.99443,0.99497,0.99469,0.08957,0.09723,0.77634,0.009208,0.009208,0.009208
10,2937.55,0.11369,0.14879,0.85266,0.99806,0.99713,0.99495,0.99451,0.08151,0.10115,0.76323,0.009109,0.009109,0.009109
11,3220.75,0.10672,0.14033,0.84979,0.99638,0.99771,0.99498,0.99493,0.17193,0.20646,0.84535,0.00901,0.00901,0.00901
12,3503.04,0.1028,0.13603,0.84885,0.98309,0.98924,0.99436,0.99343,0.10012,0.14551,0.79719,0.008911,0.008911,0.008911
13,3788.9,0.09954,0.13245,0.8488,0.99474,0.99333,0.995,0.99479,0.07359,0.09549,0.76308,0.008812,0.008812,0.008812
14,4077.38,0.0953,0.13023,0.84866,0.98841,0.99837,0.99498,0.99471,0.0914,0.11651,0.78071,0.008713,0.008713,0.008713
15,4362.97,0.0946,0.12749,0.84839,0.9928,0.98937,0.995,0.99464,0.1023,0.15694,0.78382,0.008614,0.008614,0.008614
16,4650.54,0.09439,0.12602,0.848,0.99911,0.99948,0.995,0.99499,0.08695,0.116,0.77139,0.008515,0.008515,0.008515
17,4933.72,0.08977,0.12167,0.84744,0.99273,0.99623,0.99499,0.99491,0.07305,0.10307,0.76461,0.008416,0.008416,0.008416
18,5218.71,0.08697,0.12017,0.84682,0.99906,0.99954,0.995,0.99488,0.07215,0.08786,0.76484,0.008317,0.008317,0.008317
19,5514.08,0.0858,0.11564,0.84614,0.99803,0.99804,0.995,0.99494,0.09756,0.13705,0.76149,0.008218,0.008218,0.008218
20,5797.14,0.08547,0.11943,0.84719,0.99884,0.99912,0.995,0.99498,0.06046,0.07838,0.75485,0.008119,0.008119,0.008119
21,6077.96,0.08223,0.11288,0.84517,0.99893,0.9993,0.995,0.99496,0.058,0.0793,0.75422,0.00802,0.00802,0.00802
22,6359.56,0.08249,0.11441,0.846,0.99432,0.99458,0.995,0.99497,0.06545,0.09956,0.75998,0.007921,0.007921,0.007921
23,6639.81,0.0816,0.11184,0.84575,0.99425,0.9942,0.995,0.99496,0.06802,0.09526,0.75979,0.007822,0.007822,0.007822
24,6921.61,0.07855,0.11038,0.84546,0.99922,0.99978,0.995,0.99499,0.0544,0.06902,0.75149,0.007723,0.007723,0.007723
25,7203.63,0.07941,0.11091,0.84556,0.99487,0.99789,0.995,0.99497,0.0533,0.08011,0.75133,0.007624,0.007624,0.007624
26,7490.33,0.07924,0.11182,0.84526,0.99991,1,0.995,0.99498,0.05582,0.07118,0.75405,0.007525,0.007525,0.007525
