epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.354,0.25515,1.13175,0.89745,0.95671,0.94574,0.9881,0.95073,0.24625,0.53571,0.8572,0.000475756,0.000475756,0.000475756
2,313.781,0.24193,0.4888,0.87949,0.95266,0.97145,0.98787,0.94727,0.27408,0.37825,0.8527,0.000904961,0.000904961,0.000904961
3,459.996,0.23575,0.38642,0.87654,0.9669,0.94104,0.98655,0.97109,0.20748,0.33724,0.81954,0.00128701,0.00128701,0.00128701
4,606.307,0.21982,0.33418,0.8697,0.92135,0.92891,0.96529,0.93034,0.21331,0.40257,0.84591,0.00121679,0.00121679,0.00121679
5,750.365,0.19625,0.28027,0.86416,0.9647,0.95293,0.98697,0.97895,0.15101,0.2566,0.79324,0.00114606,0.00114606,0.00114606
6,896.562,0.17955,0.25335,0.85654,0.90734,0.9022,0.9586,0.94036,0.16198,0.44236,0.80355,0.00107532,0.00107532,0.00107532
7,1042.46,0.16612,0.22736,0.85224,0.9682,0.95976,0.99278,0.98586,0.13145,0.22362,0.7894,0.00100459,0.00100459,0.00100459
8,1188.55,0.15432,0.21298,0.85029,0.99295,0.99421,0.99485,0.99113,0.12211,0.13422,0.77551,0.000933851,0.000933851,0.000933851
9,1334.17,0.14674,0.20335,0.84861,0.97171,0.95445,0.99243,0.9855,0.13195,0.21079,0.78568,0.000863116,0.000863116,0.000863116
10,1480.66,0.14075,0.18828,0.84833,0.99064,0.99894,0.99488,0.99248,0.10319,0.12205,0.77244,0.00079238,0.00079238,0.00079238
11,1646.15,0.15234,0.17665,0.81506,0.97724,0.9742,0.99116,0.97857,0.16138,0.20505,0.80964,0.000721645,0.000721645,0.000721645
12,1788.6,0.1358,0.14947,0.80717,0.95905,0.94982,0.99214,0.98971,0.10729,0.21807,0.77032,0.000650909,0.000650909,0.000650909
13,1931.36,0.12179,0.13249,0.80048,0.99843,0.99819,0.995,0.99333,0.10197,0.10599,0.77062,0.000580174,0.000580174,0.000580174
14,2074.81,0.10874,0.11606,0.79779,0.99444,0.9971,0.99487,0.99391,0.09001,0.1047,0.76275,0.000509438,0.000509438,0.000509438
15,2217.27,0.10079,0.11257,0.79498,0.99777,0.99786,0.995,0.9942,0.08477,0.09017,0.76353,0.000438703,0.000438703,0.000438703
16,2359.79,0.09169,0.09883,0.79013,0.99356,0.99906,0.99498,0.99433,0.08189,0.09069,0.76186,0.000367967,0.000367967,0.000367967
17,2502.63,0.08293,0.08943,0.78901,0.99947,1,0.995,0.99462,0.07235,0.08017,0.75936,0.000297232,0.000297232,0.000297232
18,2645.71,0.07442,0.08012,0.78527,0.99969,0.99987,0.995,0.99465,0.06711,0.07076,0.75754,0.000226497,0.000226497,0.000226497
19,2788.37,0.06599,0.07082,0.7844,0.99967,0.99978,0.995,0.99476,0.06372,0.06594,0.75521,0.000155761,0.000155761,0.000155761
20,2930.91,0.05976,0.06509,0.78193,0.99908,0.99962,0.995,0.99472,0.06021,0.06417,0.75444,8.50255e-05,8.50255e-05,8.50255e-05
