epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.6842,0.30295,1.61309,0.92706,0.6567,0.67198,0.52898,0.50043,0.26976,3.0695,0.86161,0.000474696,0.000474696,0.000474696
2,92.7406,0.27713,0.77649,0.89358,0.80856,0.73161,0.85087,0.68195,0.53069,1.59731,1.09149,0.000903954,0.000903954,0.000903954
3,135.588,0.2741,0.59099,0.89387,0.74644,0.80526,0.92429,0.87239,0.27144,1.21674,0.85684,0.00128605,0.00128605,0.00128605
4,178.491,0.26086,0.4852,0.8822,0.90737,0.97857,0.99189,0.9658,0.19614,0.44051,0.81697,0.00121679,0.00121679,0.00121679
5,221.785,0.22413,0.40181,0.87663,0.98434,0.94061,0.99318,0.97402,0.18881,0.35358,0.80258,0.00114606,0.00114606,0.00114606
6,264.651,0.22113,0.36688,0.87086,0.98142,0.95084,0.98708,0.95053,0.18755,0.33911,0.82365,0.00107532,0.00107532,0.00107532
7,307.586,0.20328,0.32312,0.86638,0.87931,0.95444,0.993,0.98465,0.15126,0.61635,0.78315,0.00100459,0.00100459,0.00100459
8,350.241,0.18501,0.29326,0.8591,0.99749,0.9912,0.99399,0.98032,0.13088,0.26387,0.76419,0.000933851,0.000933851,0.000933851
9,395.172,0.17523,0.26865,0.85883,0.86411,0.90778,0.95765,0.94821,0.15491,0.59227,0.79046,0.000863116,0.000863116,0.000863116
10,438.182,0.16028,0.24046,0.85031,0.92474,0.95556,0.98734,0.94557,0.19831,0.3754,0.83783,0.00079238,0.00079238,0.00079238
11,500.444,0.17738,0.21852,0.82528,0.86339,0.88148,0.94089,0.92768,0.15724,0.50055,0.78602,0.000721645,0.000721645,0.000721645
12,542.638,0.17325,0.22301,0.8205,0.7516,0.84074,0.92713,0.92225,0.13034,0.87449,0.76029,0.000650909,0.000650909,0.000650909
13,584.883,0.14965,0.17792,0.81166,0.99101,0.98519,0.99176,0.9909,0.10274,0.16868,0.75024,0.000580174,0.000580174,0.000580174
14,627,0.13148,0.15723,0.8048,0.95729,0.93404,0.97573,0.97205,0.11077,0.36826,0.74844,0.000509438,0.000509438,0.000509438
15,669.015,0.12196,0.14855,0.79409,0.98241,0.93977,0.99116,0.98426,0.10684,0.28861,0.74839,0.000438703,0.000438703,0.000438703
16,711.084,0.10737,0.12555,0.79275,0.98032,0.99301,0.994,0.99338,0.086,0.13594,0.7432,0.000367967,0.000367967,0.000367967
17,753.022,0.09867,0.11372,0.79063,0.99666,1,0.995,0.99039,0.08334,0.14259,0.74709,0.000297232,0.000297232,0.000297232
18,794.84,0.08992,0.10189,0.78944,0.99465,1,0.995,0.9911,0.07652,0.11606,0.74259,0.000226497,0.000226497,0.000226497
19,836.808,0.08036,0.09091,0.7867,0.99367,1,0.995,0.99194,0.07318,0.12629,0.74146,0.000155761,0.000155761,0.000155761
20,878.633,0.07276,0.08297,0.78701,0.99586,1,0.995,0.995,0.05656,0.09106,0.73457,8.50255e-05,8.50255e-05,8.50255e-05
