epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.5589,0.31016,1.69971,0.93553,0.40246,0.72642,0.55095,0.5301,0.24285,1.90221,0.87511,0.000415528,0.000415528,0.000415528
2,123.427,0.28579,0.808,0.90302,0.61665,0.75571,0.74553,0.68519,0.33848,1.36373,0.92169,0.000815717,0.000815717,0.000815717
3,179.966,0.28489,0.61835,0.89944,0.71647,0.93732,0.77908,0.74787,0.24878,1.16941,0.84761,0.00119941,0.00119941,0.00119941
4,235.609,0.26704,0.52779,0.89344,0.56597,0.79109,0.63359,0.55608,0.36446,1.73016,0.97005,0.00117575,0.00117575,0.00117575
5,290.524,0.25849,0.47512,0.89265,0.77865,0.96519,0.79086,0.72437,0.26497,1.08085,0.8772,0.001151,0.001151,0.001151
6,345.624,0.22649,0.41807,0.87996,0.72496,0.93689,0.76527,0.74343,0.20098,1.05663,0.81293,0.00112625,0.00112625,0.00112625
7,400.707,0.22275,0.39832,0.87599,0.62712,0.5246,0.64031,0.62449,0.22902,1.79811,0.85054,0.0011015,0.0011015,0.0011015
8,456.036,0.22065,0.38909,0.87563,0.75814,0.92222,0.78608,0.77671,0.17268,0.83949,0.79646,0.00107675,0.00107675,0.00107675
9,510.815,0.207,0.36839,0.87185,0.71886,0.8463,0.81168,0.77943,0.22505,0.77642,0.83886,0.001052,0.001052,0.001052
10,565.083,0.19301,0.34485,0.86891,0.77792,0.84404,0.80119,0.78523,0.15234,0.98584,0.78461,0.00102725,0.00102725,0.00102725
11,619.46,0.18281,0.32341,0.86226,0.77098,0.98868,0.79232,0.77557,0.18745,1.00661,0.82082,0.0010025,0.0010025,0.0010025
12,674.592,0.18012,0.31825,0.86444,0.73791,0.89414,0.78728,0.75342,0.21244,0.87676,0.83684,0.00097775,0.00097775,0.00097775
13,728.683,0.17669,0.31176,0.85884,0.72209,0.75,0.75409,0.72447,0.20531,0.99375,0.84914,0.000953,0.000953,0.000953
14,782.954,0.17243,0.30616,0.8602,0.68025,0.80757,0.79367,0.78243,0.15522,0.72671,0.79547,0.00092825,0.00092825,0.00092825
15,837.125,0.16393,0.2896,0.85431,0.97585,0.73333,0.80176,0.79567,0.13605,0.62186,0.78444,0.0009035,0.0009035,0.0009035
16,892.159,0.1628,0.29368,0.85629,0.67079,0.81111,0.7569,0.74106,0.19339,1.07813,0.86973,0.00087875,0.00087875,0.00087875
17,947.152,0.15796,0.2801,0.85483,0.70381,0.88008,0.78964,0.77991,0.13063,0.75106,0.77569,0.000854,0.000854,0.000854
18,1001.91,0.15678,0.27956,0.85882,0.68078,0.88187,0.7901,0.77058,0.18326,0.81282,0.84633,0.00082925,0.00082925,0.00082925
19,1056.63,0.15469,0.26689,0.85604,0.69194,0.74777,0.77861,0.76753,0.1619,0.76834,0.79564,0.0008045,0.0008045,0.0008045
20,1111.54,0.14865,0.25846,0.85247,0.72907,0.85833,0.81389,0.79665,0.14183,0.7915,0.80135,0.00077975,0.00077975,0.00077975
21,1166.43,0.14436,0.25634,0.85043,0.71352,0.81837,0.79532,0.79025,0.12648,0.78072,0.77842,0.000755,0.000755,0.000755
22,1221.49,0.13755,0.24625,0.84772,0.78161,0.99167,0.79429,0.78628,0.12297,0.88219,0.77515,0.00073025,0.00073025,0.00073025
23,1276.3,0.13469,0.2453,0.84867,0.74663,0.8,0.78468,0.77631,0.13782,0.54001,0.78131,0.0007055,0.0007055,0.0007055
24,1331.03,0.13139,0.23514,0.84443,0.77418,0.83665,0.80463,0.80233,0.09439,0.90629,0.75326,0.00068075,0.00068075,0.00068075
25,1386.03,0.12727,0.23841,0.84868,0.86997,0.77307,0.80077,0.78935,0.13526,0.46966,0.7847,0.000656,0.000656,0.000656
26,1441,0.12762,0.23283,0.84642,0.77385,0.775,0.80738,0.8009,0.10497,0.6547,0.76287,0.00063125,0.00063125,0.00063125
27,1495.99,0.12355,0.2278,0.84706,0.98333,0.74792,0.8026,0.79239,0.11786,0.51945,0.7772,0.0006065,0.0006065,0.0006065
28,1551.01,0.12094,0.22157,0.84503,0.74107,0.88333,0.81068,0.80354,0.09411,0.63042,0.76294,0.00058175,0.00058175,0.00058175
29,1606.18,0.11667,0.21573,0.84552,0.79021,0.79167,0.8119,0.80338,0.11568,0.52349,0.77581,0.000557,0.000557,0.000557
30,1661.22,0.11347,0.21107,0.84249,0.9081,0.78333,0.82277,0.80691,0.11951,0.53011,0.79587,0.00053225,0.00053225,0.00053225
31,1716.08,0.1093,0.20436,0.83977,0.77374,0.96667,0.81985,0.81336,0.10193,0.79494,0.7688,0.0005075,0.0005075,0.0005075
32,1771.39,0.10666,0.20625,0.84131,0.76082,0.825,0.81654,0.80567,0.09913,0.57516,0.77557,0.00048275,0.00048275,0.00048275
33,1826.57,0.1059,0.20129,0.84164,0.96149,0.75,0.81247,0.7992,0.10806,0.67123,0.78447,0.000458,0.000458,0.000458
34,1881.83,0.10264,0.1935,0.8395,0.95508,0.76437,0.80805,0.79844,0.11636,0.4777,0.77859,0.00043325,0.00043325,0.00043325
35,1936.61,0.09878,0.19242,0.83753,0.94008,0.77146,0.8178,0.80923,0.10256,0.71022,0.7674,0.0004085,0.0004085,0.0004085
36,1991.44,0.09885,0.18818,0.83765,0.87321,0.775,0.81448,0.80612,0.09929,0.55461,0.76277,0.00038375,0.00038375,0.00038375
37,2046.73,0.09373,0.18156,0.83718,0.93638,0.78333,0.82763,0.81446,0.09774,0.67862,0.7747,0.000359,0.000359,0.000359
38,2101.75,0.09335,0.18399,0.83813,0.83207,0.7817,0.82515,0.81045,0.09905,0.83571,0.77863,0.00033425,0.00033425,0.00033425
39,2156.79,0.08867,0.17905,0.83603,0.8902,0.775,0.81337,0.81184,0.06951,0.80028,0.74458,0.0003095,0.0003095,0.0003095
40,2212.2,0.08611,0.1724,0.83805,0.93493,0.76179,0.81662,0.80226,0.09529,0.71901,0.76656,0.00028475,0.00028475,0.00028475
41,2287.67,0.08566,0.13673,0.79309,0.72444,0.79167,0.81087,0.80672,0.07521,0.63044,0.74642,0.00026,0.00026,0.00026
42,2342.06,0.08121,0.12743,0.79053,0.87177,0.78333,0.82601,0.79673,0.12175,0.59764,0.83888,0.00023525,0.00023525,0.00023525
43,2396.88,0.07722,0.12296,0.78975,0.8167,0.80833,0.82813,0.8197,0.07225,0.71566,0.74823,0.0002105,0.0002105,0.0002105
44,2451.81,0.07262,0.11726,0.78498,0.84436,0.78333,0.81764,0.8062,0.06638,0.72904,0.75172,0.00018575,0.00018575,0.00018575
45,2507.17,0.06712,0.11156,0.77857,0.73305,0.80833,0.82641,0.81665,0.06339,0.80884,0.74576,0.000161,0.000161,0.000161
46,2562.29,0.06456,0.10723,0.78469,0.92599,0.76961,0.82208,0.81452,0.07702,0.70421,0.76004,0.00013625,0.00013625,0.00013625
47,2618.24,0.06009,0.10172,0.78253,0.81617,0.77649,0.81976,0.80434,0.09293,0.72092,0.78522,0.0001115,0.0001115,0.0001115
48,2672.7,0.05749,0.10026,0.78072,0.84316,0.75801,0.81265,0.80206,0.07551,0.61921,0.76948,8.675e-05,8.675e-05,8.675e-05
49,2729.25,0.05476,0.09553,0.78307,0.89811,0.76111,0.81147,0.80124,0.07843,0.5929,0.7628,6.2e-05,6.2e-05,6.2e-05
50,2783.2,0.05328,0.09439,0.78313,0.76544,0.82979,0.8216,0.81392,0.07314,0.58284,0.76436,3.725e-05,3.725e-05,3.725e-05
