epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,309.911,0.19939,1.0881,0.86868,0.95827,0.94748,0.99092,0.98894,0.14253,0.4691,0.78005,0.00333127,0.00333127,0.00333127
2,593.739,0.22838,0.42898,0.86185,0.88106,0.89825,0.96249,0.94003,0.17716,0.49483,0.80799,0.00659863,0.00659863,0.00659863
3,864.069,0.24758,0.35087,0.8653,0.93818,0.92737,0.96866,0.96268,0.15682,0.32921,0.7942,0.00979998,0.00979998,0.00979998
4,1117.76,0.22922,0.29637,0.86178,0.98263,0.97959,0.99437,0.99215,0.12168,0.16498,0.77828,0.009703,0.009703,0.009703
5,1384.63,0.19319,0.24092,0.85215,0.98983,0.99187,0.99484,0.99429,0.10559,0.12788,0.77182,0.009604,0.009604,0.009604
6,1656.06,0.17203,0.20974,0.8481,0.99871,0.99894,0.99499,0.9949,0.0957,0.10196,0.76801,0.009505,0.009505,0.009505
7,1919.61,0.1571,0.19288,0.84542,0.99569,0.99709,0.99497,0.99456,0.09149,0.1084,0.76936,0.009406,0.009406,0.009406
8,2182.26,0.14437,0.17677,0.84114,0.99367,0.99724,0.9948,0.99378,0.08051,0.09496,0.76591,0.009307,0.009307,0.009307
9,2462.24,0.1379,0.1703,0.8416,0.99689,0.99573,0.99489,0.99467,0.0737,0.08493,0.76254,0.009208,0.009208,0.009208
10,2723.74,0.13027,0.16044,0.83951,0.9582,0.9802,0.98398,0.98369,0.06489,0.16757,0.75988,0.009109,0.009109,0.009109
11,2994.9,0.12549,0.15532,0.8385,0.98817,0.98815,0.99497,0.99471,0.06914,0.09527,0.76087,0.00901,0.00901,0.00901
12,3253.64,0.12047,0.14963,0.83697,0.99149,0.99033,0.99486,0.99421,0.06693,0.08858,0.76224,0.008911,0.008911,0.008911
13,3518.66,0.1162,0.14498,0.83602,0.98878,0.99578,0.99452,0.99297,0.0673,0.08517,0.76481,0.008812,0.008812,0.008812
14,3791.32,0.11239,0.14073,0.8351,0.99734,0.99865,0.99497,0.99447,0.0635,0.0732,0.76172,0.008713,0.008713,0.008713
15,4059.23,0.10951,0.14017,0.83472,0.99834,0.99979,0.99497,0.99463,0.06167,0.06718,0.75847,0.008614,0.008614,0.008614
16,4315.85,0.1071,0.13562,0.83487,0.99561,0.99326,0.99488,0.99364,0.0622,0.07774,0.76319,0.008515,0.008515,0.008515
